mode,n_blocks,ell,lambda_bits,r,layer,records,record_count,dependency
RELEASE,8,4,2,8,11,OPEN_follower_3,1,verified leader OPEN 3
RELEASE,8,4,2,8,12,OPEN_leader_4,1,previous block complete and local release guard
RELEASE,8,4,2,8,13,OPEN_follower_4,1,verified leader OPEN 4
RELEASE,8,4,2,8,14,OPEN_leader_5,1,previous block complete and local release guard
RELEASE,8,4,2,8,15,OPEN_follower_5,1,verified leader OPEN 5
RELEASE,8,4,2,8,16,OPEN_leader_6,1,previous block complete and local release guard
RELEASE,8,4,2,8,17,OPEN_follower_6,1,verified leader OPEN 6
RELEASE,8,4,2,8,18,OPEN_leader_7,1,previous block complete and local release guard
RELEASE,8,4,2,8,19,OPEN_follower_7,1,verified leader OPEN 7
RELEASE,8,4,2,8,20,OPEN_leader_8,1,previous block complete and local release guard
RELEASE,8,4,2,8,21,OPEN_follower_8,1,verified leader OPEN 8
RELEASE,8,4,2,8,22,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
RELEASE,8,4,4,4,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,8,4,4,4,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,8,4,4,4,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,8,4,4,4,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,8,4,4,4,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,8,4,4,4,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,8,4,4,4,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,8,4,4,4,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,8,4,4,4,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,8,4,4,4,10,OPEN_leader_3,1,previous block complete and local release guard
RELEASE,8,4,4,4,11,OPEN_follower_3,1,verified leader OPEN 3
RELEASE,8,4,4,4,12,OPEN_leader_4,1,previous block complete and local release guard
RELEASE,8,4,4,4,13,OPEN_follower_4,1,verified leader OPEN 4
RELEASE,8,4,4,4,14,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
RELEASE,8,4,8,2,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,8,4,8,2,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,8,4,8,2,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,8,4,8,2,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,8,4,8,2,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,8,4,8,2,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,8,4,8,2,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,8,4,8,2,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,8,4,8,2,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,8,4,8,2,10,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
BASIC,8,155,,0,1,QRECV_ACK,1,quantum delivery/length check
BASIC,8,155,,0,2,DECOY_INFO,1,verified QRECV_ACK
BASIC,8,155,,0,3,DIALOGUE_B_QPASS,1,Bob local detection pass
BASIC,8,155,,0,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
