angle_source,theta,unitarity_error,bb84_evolution_error,qber_density,trace_distance_nuclear_norm,helstrom_guess,qber_qiskit,trace_distance_qiskit,helstrom_qiskit,qber_analytic,trace_distance_analytic,helstrom_analytic,maximum_component_error,scope
grid,0.2356194490192345,1.1102230246251565e-16,0.0,0.006907519900581027,0.23344536385590542,0.6167226819279528,0.006907519900581027,0.23344536385590542,0.6167226819279528,0.006907519900580861,0.23344536385590542,0.6167226819279528,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.25132741228718347,1.1102230246251565e-16,0.0,0.007854209717842453,0.2486898871648548,0.6243449435824274,0.007854209717842453,0.2486898871648548,0.6243449435824274,0.007854209717842231,0.2486898871648548,0.6243449435824274,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.26703537555513246,8.037545747522364e-18,0.0,0.008860645385550647,0.26387304996537286,0.6319365249826865,0.008860645385550647,0.26387304996537286,0.6319365249826865,0.00886064538555048,0.2638730499653729,0.6319365249826865,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.2827433388230814,1.3826881531085132e-18,0.0,0.0099265785807644,0.2789911060392293,0.6394955530196147,0.0099265785807644,0.2789911060392293,0.6394955530196147,0.009926578580764234,0.2789911060392293,0.6394955530196147,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.2984513020910304,8.007346878317379e-18,0.0,0.011051746300417664,0.29404032523230406,0.647020162616152,0.011051746300417664,0.29404032523230406,0.647020162616152,0.01105174630041747,0.294040325232304,0.647020162616152,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.3141592653589793,1.1102230246251565e-16,0.0,0.012235870926211784,0.3090169943749474,0.6545084971874737,0.012235870926211784,0.3090169943749474,0.6545084971874737,0.012235870926211617,0.3090169943749474,0.6545084971874737,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.3298672286269283,1.1102230246251565e-16,0.0,0.01347866029311387,0.32391741819814945,0.6619587090990747,0.01347866029311387,0.32391741819814945,0.6619587090990747,0.013478660293113676,0.3239174181981494,0.6619587090990747,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.3455751918948773,1.6655801212974512e-17,0.0,0.01477980776144383,0.33873792024529137,0.6693689601226457,0.01477980776144383,0.33873792024529137,0.6693689601226457,0.014779807761443636,0.3387379202452914,0.6693689601226457,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.3612831551628262,1.1102230246251565e-16,0.0,0.016138992292533377,0.35347484377925714,0.6767374218896286,0.016138992292533377,0.35347484377925714,0.6767374218896286,0.016138992292533183,0.35347484377925714,0.6767374218896286,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.3769911184307752,1.1102230246251565e-16,0.0,0.017555878527937357,0.3681245526846779,0.684062276342339,0.017555878527937357,0.3681245526846779,0.684062276342339,0.017555878527937163,0.368124552684678,0.684062276342339,1.942890293094024e-16,specified_U_theta_probe_family_only
grid,0.3926990816987242,2.5860532068485732e-17,0.0,0.019030116872178537,0.38268343236508984,0.6913417161825449,0.019030116872178537,0.38268343236508984,0.6913417161825449,0.019030116872178315,0.38268343236508984,0.6913417161825449,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.4084070449666731,9.016805319605337e-18,0.0,0.020561343579004854,0.3971478906347806,0.6985739453173903,0.020561343579004854,0.3971478906347806,0.6985739453173903,0.020561343579004715,0.3971478906347806,0.6985739453173903,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.4241150082346221,2.220446049250313e-16,0.0,0.022149180841138816,0.4115143586051089,0.7057571793025544,0.02214918084113876,0.4115143586051089,0.7057571793025544,0.022149180841138677,0.4115143586051088,0.7057571793025544,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.4398229715025711,2.2273673705185786e-17,0.0,0.023793236883495272,0.42577929156507266,0.7128896457825363,0.023793236883495272,0.42577929156507266,0.7128896457825363,0.023793236883495134,0.4257792915650727,0.7128896457825363,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.45553093477052004,2.1244121129018004e-17,0.0,0.025493106059846227,0.4399391698559152,0.7199695849279576,0.025493106059846227,0.4399391698559152,0.7199695849279576,0.025493106059846088,0.43993916985591514,0.7199695849279576,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.471238898038469,2.220446049250313e-16,0.0,0.027248368952908164,0.45399049973954675,0.7269952498697734,0.027248368952908164,0.45399049973954675,0.7269952498697734,0.027248368952908025,0.4539904997395468,0.7269952498697734,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.48694686130641796,2.220446049250313e-16,0.0,0.029058592477826772,0.46792981426057345,0.7339649071302867,0.029058592477826717,0.46792981426057345,0.7339649071302867,0.029058592477826634,0.4679298142605734,0.7339649071302867,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.5026548245743669,1.3044087777174515e-17,0.0,0.030923329989034243,0.4817536741017153,0.7408768370508576,0.030923329989034243,0.4817536741017153,0.7408768370508576,0.030923329989034104,0.4817536741017153,0.7408768370508576,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.5183627878423159,2.6910087787215022e-17,0.0,0.03284212139045234,0.4954586684324076,0.7477293342162038,0.03284212139045234,0.4954586684324076,0.7477293342162038,0.0328421213904522,0.4954586684324076,0.7477293342162038,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.5340707511102649,2.0101334850150376e-17,0.0,0.034814493249014256,0.5090414157503713,0.7545207078751857,0.034814493249014256,0.5090414157503713,0.7545207078751857,0.03481449324901409,0.5090414157503713,0.7545207078751857,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.5497787143782138,1.6329346563142557e-17,0.0,0.03683995891147701,0.5224985647159488,0.7612492823579744,0.03683995891147701,0.5224985647159488,0.7612492823579744,0.03683995891147693,0.5224985647159488,0.7612492823579744,8.326672684688674e-17,specified_U_theta_probe_family_only
grid,0.5654866776461628,6.120734331851902e-18,0.0,0.03891801862449634,0.5358267949789967,0.7679133974894983,0.03891801862449634,0.5358267949789967,0.7679133974894983,0.03891801862449623,0.5358267949789967,0.7679133974894983,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.5811946409141118,2.220446049250313e-16,0.0,0.04104815965793257,0.5490228179981318,0.7745114089990659,0.041048159657932515,0.5490228179981318,0.7745114089990659,0.04104815965793243,0.5490228179981318,0.7745114089990659,2.220446049250313e-16,specified_U_theta_probe_family_only
grid,0.5969026041820608,1.760899149901875e-17,0.0,0.04322985643135968,0.5620833778521306,0.7810416889260653,0.04322985643135968,0.5620833778521306,0.7810416889260653,0.04322985643135954,0.5620833778521306,0.7810416889260653,1.3877787807814457e-16,specified_U_theta_probe_family_only
grid,0.6126105674500097,4.435776471292445e-18,0.0,0.04546257064374426,0.5750052520432786,0.7875026260216393,0.04546257064374426,0.5750052520432786,0.7875026260216393,0.04546257064374415,0.5750052520432786,0.7875026260216393,1.1102230246251565e-16,specified_U_theta_probe_family_only
grid,0.6283185307179586,1.2659966479596092e-17,0.0,0.047745751406263304,0.5877852522924731,0.7938926261462366,0.047745751406263304,0.5877852522924731,0.7938926261462366,0.04774575140626314,0.5877852522924731,0.7938926261462366,1.6653345369377348e-16,specified_U_theta_probe_family_only
grid,0.6440264939859076,2.815015699409514e-18,0.0,0.05007883537822749,0.6004202253258839,0.800210112662942,0.05007883537822749,0.6004202253258839,0.800210112662942,0.050078835378227354,0.600420225325884,0.800210112662942,1.3877787807814457e-16,specified_U_theta_probe_family_only
