resource_class,benchmark_status,n_blocks,ell_per_sequence,ell_scenario,rho_bits,d_H_bits,nu_bits,h_bits,tau_bits,commitment_bits,salt_bits,theoretical_compact_decoy_bits,KE_QKD_communication_included,parameter_source,mode,lambda_bits,r,formula,paper_analytic_bits
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,248,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5132
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,258,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1034
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,258,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2838
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,258,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9758
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,258,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6686
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,258,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5150
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1060
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2864
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),15936
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9792
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6720
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,276,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),5184
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1102
